chr,pos,strand,type,start,end,gene,transcript,group
chr2,218959665,+,promoter,218957665,218961665,CDK5R2,ENST00000302625.6,TPM <= 0.01
chr2,219060921,-,promoter,219058921,219062921,IHH,ENST00000295731.7,TPM <= 0.01
chr2,227379306,-,promoter,227377306,227381306,TM4SF20,ENST00000304568.4,TPM <= 0.01
chr2,237566573,+,promoter,237564573,237568573,PRLH,ENST00000165524.1,TPM <= 0.01
chr20,916334,-,promoter,914334,918334,ANGPT4,ENST00000381922.5,TPM <= 0.01
chr20,31257663,+,promoter,31255663,31259663,DEFB115,ENST00000400552.1,TPM <= 0.01
chr20,31845604,-,promoter,31843604,31847604,FOXS1,ENST00000375978.5,TPM <= 0.01
chr20,35292425,-,promoter,35290425,35294425,FAM83C,ENST00000374408.4,TPM <= 0.01
chr20,45308299,-,promoter,45306299,45310299,MATN4,ENST00000372756.6,TPM <= 0.01
chr20,45631284,-,promoter,45629284,45633284,WFDC9,ENST00000326000.2,TPM <= 0.01
chr20,45722346,+,promoter,45720346,45724346,SPINT4,ENST00000279058.4,TPM <= 0.01
chr20,62220278,-,promoter,62218278,62222278,HRH3,ENST00000340177.10,TPM <= 0.01
chr21,30289514,-,promoter,30287514,30291514,KRTAP25-1,ENST00000416044.1,TPM <= 0.01
chr21,30348606,-,promoter,30346606,30350606,KRTAP23-1,ENST00000334160.6,TPM <= 0.01
chr21,30620626,+,promoter,30618626,30622626,KRTAP20-4,ENST00000382828.2,TPM <= 0.01
chr21,30642863,+,promoter,30640863,30644863,KRTAP20-3,ENST00000382826.2,TPM <= 0.01
chr21,30718777,-,promoter,30716777,30720777,KRTAP21-3,ENST00000444335.1,TPM <= 0.01
chr3,39051944,-,promoter,39049944,39053944,SCN11A,ENST00000302328.9,TPM <= 0.01
chr3,51955380,+,promoter,51953380,51957380,GPR62,ENST00000322241.6,TPM <= 0.01
chr3,56468467,-,promoter,56466467,56470467,ERC2,ENST00000288221.11,TPM <= 0.01
chr3,63819298,+,promoter,63817298,63821298,C3orf49,ENST00000295896.13,TPM <= 0.01
chr3,120285222,-,promoter,120283222,120287222,GPR156,ENST00000464295.6,TPM <= 0.01
chr3,120908204,+,promoter,120906204,120910204,STXBP5L,ENST00000471454.6,TPM <= 0.01
chr3,123027763,-,promoter,123025763,123029763,SEMA5B,ENST00000357599.8,TPM <= 0.01
chr3,130517176,+,promoter,130515176,130519176,COL6A6,ENST00000358511.11,TPM <= 0.01
chr3,138434615,+,promoter,138432615,138436615,ESYT3,ENST00000389567.9,TPM <= 0.01
chr3,141051346,+,promoter,141049346,141053346,SPSB4,ENST00000310546.3,TPM <= 0.01
chr4,9444413,+,promoter,9442413,9446413,DEFB131A,ENST00000334879.2,TPM <= 0.01
chr4,17781621,-,promoter,17779621,17783621,FAM184B,ENST00000265018.4,TPM <= 0.01
chr4,39406929,+,promoter,39404929,39408929,KLB,ENST00000257408.5,TPM <= 0.01
chr4,52020363,-,promoter,52018363,52022363,LRRC66,ENST00000682860.1,TPM <= 0.01
chr4,56505790,+,promoter,56503790,56507790,ARL9,ENST00000640821.3,TPM <= 0.01
chr4,95548973,-,promoter,95546973,95550973,UNC5C,ENST00000453304.6,TPM <= 0.01
chr4,98143476,-,promoter,98141476,98145476,STPG2,ENST00000295268.4,TPM <= 0.01
chr4,106368778,-,promoter,106366778,106370778,GIMD1,ENST00000638719.4,TPM <= 0.01
chr4,109827971,+,promoter,109825971,109829971,RRH,ENST00000317735.7,TPM <= 0.01
chr4,125314954,+,promoter,125312954,125316954,FAT4,ENST00000394329.9,TPM <= 0.01
chr4,159035229,-,promoter,159033229,159037229,C4orf45,ENST00000434826.3,TPM <= 0.01
chr5,36301902,-,promoter,36299902,36303902,RANBP3L,ENST00000296604.8,TPM <= 0.01
chr5,75236878,-,promoter,75234878,75238878,ANKRD31,ENST00000506364.6,TPM <= 0.01
chr5,128965487,+,promoter,128963487,128967487,SLC27A6,ENST00000262462.9,TPM <= 0.01
chr5,141192352,+,promoter,141190352,141194352,PCDHB10,ENST00000239446.6,TPM <= 0.01
chr5,141223342,+,promoter,141221342,141225342,PCDHB14,ENST00000239449.7,TPM <= 0.01
chr5,141245394,+,promoter,141243394,141247394,PCDHB15,ENST00000231173.6,TPM <= 0.01
chr5,141489080,+,promoter,141487080,141491080,PCDHGC5,ENST00000252087.3,TPM <= 0.01
chr5,146338838,+,promoter,146336838,146340838,POU4F3,ENST00000646991.2,TPM <= 0.01
chr5,148168545,+,promoter,148166545,148170545,SPINK14,ENST00000356972.2,TPM <= 0.01
chr5,148238524,+,promoter,148236524,148240524,MARCOL,ENST00000638089.2,TPM <= 0.01
chr5,149944793,-,promoter,149942793,149946793,PDE6A,ENST00000255266.10,TPM <= 0.01
chr5,173989169,+,promoter,173987169,173991169,C5orf47,ENST00000340147.7,TPM <= 0.01
chr6,1389575,+,promoter,1387575,1391575,FOXF2,ENST00000645481.2,TPM <= 0.01
chr6,50021994,-,promoter,50019994,50023994,DEFB110,ENST00000371148.3,TPM <= 0.01
chr6,68635281,+,promoter,68633281,68637281,ADGRB3,ENST00000370598.6,TPM <= 0.01
chr6,70303084,-,promoter,70301084,70305084,COL9A1,ENST00000357250.11,TPM <= 0.01
chr6,93419559,-,promoter,93417559,93421559,EPHA7,ENST00000369303.9,TPM <= 0.01
chr6,98834573,+,promoter,98832573,98836573,POU3F2,ENST00000328345.8,TPM <= 0.01
chr6,116511638,+,promoter,116509638,116513638,CALHM5,ENST00000368599.4,TPM <= 0.01
chr6,134052624,-,promoter,134050624,134054624,SLC2A12,ENST00000275230.6,TPM <= 0.01
chr6,136922300,+,promoter,136920300,136924300,SLC35D3,ENST00000331858.5,TPM <= 0.01
chr6,152750796,+,promoter,152748796,152752796,VIP,ENST00000367244.8,TPM <= 0.01
chr6,167325085,+,promoter,167323085,167327085,TTLL2,ENST00000239587.10,TPM <= 0.01
chr7,31052307,+,promoter,31050307,31054307,ADCYAP1R1,ENST00000304166.9,TPM <= 0.01
chr7,86643908,+,promoter,86641908,86645908,GRM3,ENST00000361669.7,TPM <= 0.01
chr7,107470056,+,promoter,107468056,107472056,GPR22,ENST00000304402.6,TPM <= 0.01
chr7,139483673,-,promoter,139481673,139485673,KLRG2,ENST00000340940.5,TPM <= 0.01
chr7,141708352,+,promoter,141706352,141710352,WEE2,ENST00000397541.6,TPM <= 0.01
chr8,7926336,+,promoter,7924336,7928336,ZNF705B,ENST00000400120.3,TPM <= 0.01
chr8,20183136,-,promoter,20181136,20185136,SLC18A1,ENST00000276373.10,TPM <= 0.01
chr8,98426957,+,promoter,98424957,98428957,KCNS2,ENST00000287042.5,TPM <= 0.01
chr8,132481095,-,promoter,132479095,132483095,KCNQ3,ENST00000388996.10,TPM <= 0.01
chr8,144336482,-,promoter,144334482,144338482,SCRT1,ENST00000569446.3,TPM <= 0.01
chr9,2717509,+,promoter,2715509,2719509,KCNV2,ENST00000382082.4,TPM <= 0.01
chr9,34629066,-,promoter,34627066,34631066,ARID3C,ENST00000378909.4,TPM <= 0.01
chr9,35958154,-,promoter,35956154,35960154,OR2S2,ENST00000341959.2,TPM <= 0.01
chr9,137230900,+,promoter,137228900,137232900,SLC34A3,ENST00000673835.1,TPM <= 0.01
chrX,23908005,+,promoter,23906005,23910005,CXorf58,ENST00000379211.8,TPM <= 0.01
chrX,41447342,+,promoter,41445342,41449342,NYX,ENST00000378220.3,TPM <= 0.01
chrX,69504325,+,promoter,69502325,69506325,NALF2,ENST00000252338.5,TPM <= 0.01
chrX,70423313,+,promoter,70421313,70425313,GDPD2,ENST00000374382.4,TPM <= 0.01
chrX,101291334,-,promoter,101289334,101293334,TAF7L,ENST00000356784.2,TPM <= 0.01
chrX,106726700,+,promoter,106724700,106728700,RNF128,ENST00000255499.3,TPM <= 0.01
chrX,111096190,+,promoter,111094190,111098190,PAK3,ENST00000372007.10,TPM <= 0.01
chrX,153517641,+,promoter,153515641,153519641,ATP2B3,ENST00000263519.5,TPM <= 0.01
chr1,6180321,-,promoter,6178321,6182321,CHD5,ENST00000262450.8,0.01 <= TPM < 0.1
chr1,10450030,+,promoter,10448030,10452030,CORT,ENST00000377049.4,0.01 <= TPM < 0.1
chr1,11479154,+,promoter,11477154,11481154,DISP3,ENST00000294484.7,0.01 <= TPM < 0.1
chr1,15476103,+,promoter,15474103,15478103,CELA2B,ENST00000375910.8,0.01 <= TPM < 0.1
chr1,17372195,+,promoter,17370195,17374195,PADI6,ENST00000619609.1,0.01 <= TPM < 0.1
chr1,20119536,-,promoter,20117536,20121536,PLA2G2D,ENST00000375105.8,0.01 <= TPM < 0.1
chr1,20186095,+,promoter,20184095,20188095,UBXN10,ENST00000375099.4,0.01 <= TPM < 0.1
chr1,20732703,-,promoter,20730703,20734703,SH2D5,ENST00000444387.7,0.01 <= TPM < 0.1
chr1,24319356,+,promoter,24317356,24321356,GRHL3,ENST00000361548.9,0.01 <= TPM < 0.1
chr1,32539426,+,promoter,32537426,32541426,ZBTB8A,ENST00000373510.9,0.01 <= TPM < 0.1
chr1,32702770,-,promoter,32700770,32704770,SYNC,ENST00000409190.8,0.01 <= TPM < 0.1
chr1,39639643,-,promoter,39637643,39641643,HEYL,ENST00000372852.4,0.01 <= TPM < 0.1
chr1,43337817,+,promoter,43335817,43339817,MPL,ENST00000372470.9,0.01 <= TPM < 0.1
chr1,45206605,-,promoter,45204605,45208605,ZSWIM5,ENST00000359600.6,0.01 <= TPM < 0.1
chr1,54641785,+,promoter,54639785,54643785,MROH7,ENST00000421030.7,0.01 <= TPM < 0.1
chr1,54806062,+,promoter,54804062,54808062,LEXM,ENST00000371273.4,0.01 <= TPM < 0.1
chr1,64470128,+,promoter,64468128,64472128,CACHD1,ENST00000651257.2,0.01 <= TPM < 0.1
chr1,68050627,-,promoter,68048627,68052627,DIRAS3,ENST00000646789.1,0.01 <= TPM < 0.1
chr1,69567921,+,promoter,69565921,69569921,LRRC7,ENST00000651989.2,0.01 <= TPM < 0.1
chr1,72282539,-,promoter,72280539,72284539,NEGR1,ENST00000357731.10,0.01 <= TPM < 0.1
chr1,74235386,+,promoter,74233386,74237386,TNNI3K,ENST00000326637.8,0.01 <= TPM < 0.1
chr1,78490973,+,promoter,78488973,78492973,PTGFR,ENST00000370757.8,0.01 <= TPM < 0.1
chr1,92080344,+,promoter,92078344,92082344,BTBD8,ENST00000636805.2,0.01 <= TPM < 0.1
chr1,94820356,+,promoter,94818356,94822356,SLC44A3,ENST00000271227.11,0.01 <= TPM < 0.1
chr1,109619616,-,promoter,109617616,109621616,GNAT2,ENST00000679935.1,0.01 <= TPM < 0.1
chr1,110606358,-,promoter,110604358,110608358,KCNA2,ENST00000316361.10,0.01 <= TPM < 0.1
chr1,115768714,-,promoter,115766714,115770714,CASQ2,ENST00000261448.6,0.01 <= TPM < 0.1
chr1,119811460,-,promoter,119809460,119813460,REG4,ENST00000256585.10,0.01 <= TPM < 0.1
chr1,151716803,-,promoter,151714803,151718803,CELF3,ENST00000290583.9,0.01 <= TPM < 0.1
chr1,151839820,-,promoter,151837820,151841820,C2CD4D,ENST00000694868.1,0.01 <= TPM < 0.1
chr1,152325239,-,promoter,152323239,152327239,FLG,ENST00000368799.2,0.01 <= TPM < 0.1
chr1,152360006,-,promoter,152358006,152362006,FLG2,ENST00000388718.5,0.01 <= TPM < 0.1
chr1,152686122,+,promoter,152684122,152688122,LCE2B,ENST00000368780.4,0.01 <= TPM < 0.1
chr1,152719521,+,promoter,152717521,152721521,C1orf68,ENST00000368775.3,0.01 <= TPM < 0.1
chr1,154567777,+,promoter,154565777,154569777,CHRNB2,ENST00000368476.4,0.01 <= TPM < 0.1
chr1,154993585,+,promoter,154991585,154995585,LENEP,ENST00000392487.2,0.01 <= TPM < 0.1
chr1,155033823,+,promoter,155031823,155035823,DCST1,ENST00000295542.6,0.01 <= TPM < 0.1
chr1,156619414,+,promoter,156617414,156621414,HAPLN2,ENST00000255039.6,0.01 <= TPM < 0.1
chr1,156642116,+,promoter,156640116,156644116,BCAN,ENST00000329117.10,0.01 <= TPM < 0.1
chr1,158353893,+,promoter,158351893,158355893,CD1E,ENST00000368167.8,0.01 <= TPM < 0.1
chr1,160070160,-,promoter,160068160,160072160,KCNJ10,ENST00000644903.1,0.01 <= TPM < 0.1
chr1,167914134,-,promoter,167912134,167916134,ADCY10,ENST00000367851.9,0.01 <= TPM < 0.1
chr1,168136930,-,promoter,168134930,168138930,GPR161,ENST00000682931.1,0.01 <= TPM < 0.1
chr1,171185299,+,promoter,171183299,171187299,FMO2,ENST00000209929.10,0.01 <= TPM < 0.1
chr1,177970058,-,promoter,177968058,177972058,SEC16B,ENST00000308284.11,0.01 <= TPM < 0.1
chr1,178094103,+,promoter,178092103,178096103,RASAL2,ENST00000367649.8,0.01 <= TPM < 0.1
chr1,203127725,+,promoter,203125725,203129725,ADORA1,ENST00000337894.9,0.01 <= TPM < 0.1
chr1,204359929,-,promoter,204357929,204361929,PLEKHA6,ENST00000272203.8,0.01 <= TPM < 0.1
chr1,235649784,-,promoter,235647784,235651784,GNG4,ENST00000391854.7,0.01 <= TPM < 0.1
chr1,237042183,+,promoter,237040183,237044183,RYR2,ENST00000366574.7,0.01 <= TPM < 0.1
chr1,244352634,+,promoter,244350634,244354634,C1orf100,ENST00000308105.5,0.01 <= TPM < 0.1
chr1,244461272,+,promoter,244459272,244463272,CATSPERE,ENST00000366534.9,0.01 <= TPM < 0.1
chr1,247549133,+,promoter,247547133,247551133,GCSAML,ENST00000366488.5,0.01 <= TPM < 0.1
chr1,248755759,-,promoter,248753759,248757759,LYPD8,ENST00000590317.4,0.01 <= TPM < 0.1
chr10,14959387,+,promoter,14957387,14961387,MEIG1,ENST00000407572.6,0.01 <= TPM < 0.1
chr10,15719922,-,promoter,15717922,15721922,ITGA8,ENST00000378076.4,0.01 <= TPM < 0.1
chr10,16521879,-,promoter,16519879,16523879,C1QL3,ENST00000298943.4,0.01 <= TPM < 0.1
chr10,17454595,-,promoter,17452595,17456595,ST8SIA6,ENST00000377602.5,0.01 <= TPM < 0.1
chr10,17752200,+,promoter,17750200,17754200,TMEM236,ENST00000377495.2,0.01 <= TPM < 0.1
chr10,30059586,-,promoter,30057586,30061586,JCAD,ENST00000375377.2,0.01 <= TPM < 0.1
chr10,43077068,+,promoter,43075068,43079068,RET,ENST00000355710.8,0.01 <= TPM < 0.1
chr10,59362549,-,promoter,59360549,59364549,FAM13C,ENST00000618804.5,0.01 <= TPM < 0.1
chr10,68560336,+,promoter,68558336,68562336,TET1,ENST00000373644.5,0.01 <= TPM < 0.1
chr10,69416918,-,promoter,69414918,69418918,TACR2,ENST00000373306.5,0.01 <= TPM < 0.1
chr10,70441681,-,promoter,70439681,70443681,NODAL,ENST00000287139.8,0.01 <= TPM < 0.1
chr10,71212569,+,promoter,71210569,71214569,UNC5B,ENST00000335350.10,0.01 <= TPM < 0.1
chr10,79826738,+,promoter,79824738,79828738,NUTM2E,ENST00000429984.5,0.01 <= TPM < 0.1
chr10,98268194,-,promoter,98266194,98270194,LOXL4,ENST00000260702.4,0.01 <= TPM < 0.1
chr10,101031129,-,promoter,101029129,101033129,PDZD7,ENST00000619208.6,0.01 <= TPM < 0.1
chr10,103479240,-,promoter,103477240,103481240,CALHM3,ENST00000369783.4,0.01 <= TPM < 0.1
chr10,110644335,+,promoter,110642335,110646335,RBM20,ENST00000369519.4,0.01 <= TPM < 0.1
chr10,111077028,+,promoter,111075028,111079028,ADRA2A,ENST00000280155.4,0.01 <= TPM < 0.1
chr10,117241113,+,promoter,117239113,117243113,SLC18A2,ENST00000644641.2,0.01 <= TPM < 0.1
chr10,121598444,-,promoter,121596444,121600444,FGFR2,ENST00000358487.10,0.01 <= TPM < 0.1
chr10,132065945,+,promoter,132063945,132067945,JAKMIP3,ENST00000684848.1,0.01 <= TPM < 0.1
chr10,133160218,+,promoter,133158218,133162218,KNDC1,ENST00000304613.8,0.01 <= TPM < 0.1
chr10,133230216,+,promoter,133228216,133232216,UTF1,ENST00000304477.3,0.01 <= TPM < 0.1
chr11,624955,-,promoter,622955,626955,CDHR5,ENST00000397542.7,0.01 <= TPM < 0.1
chr11,1585283,-,promoter,1583283,1587283,KRTAP5-1,ENST00000382171.2,0.01 <= TPM < 0.1
chr11,1834989,+,promoter,1832989,1836989,SYT8,ENST00000341958.4,0.01 <= TPM < 0.1
chr11,5736447,+,promoter,5734447,5738447,OR56B1,ENST00000317121.6,0.01 <= TPM < 0.1
chr11,8081210,+,promoter,8079210,8083210,TUB,ENST00000299506.3,0.01 <= TPM < 0.1
chr11,17476845,-,promoter,17474845,17478845,ABCC8,ENST00000389817.8,0.01 <= TPM < 0.1
chr11,18046269,-,promoter,18044269,18048269,TPH1,ENST00000682019.1,0.01 <= TPM < 0.1
chr11,30586353,-,promoter,30584353,30588353,MPPED2,ENST00000358117.10,0.01 <= TPM < 0.1
chr11,35419558,-,promoter,35417558,35421558,SLC1A2,ENST00000278379.9,0.01 <= TPM < 0.1
chr11,36568006,+,promoter,36566006,36570006,RAG1,ENST00000299440.6,0.01 <= TPM < 0.1
chr11,46918550,-,promoter,46916550,46920550,LRP4,ENST00000378623.6,0.01 <= TPM < 0.1
chr11,59845499,-,promoter,59843499,59847499,CBLIF,ENST00000257248.3,0.01 <= TPM < 0.1
chr11,60088663,+,promoter,60086663,60090663,MS4A2,ENST00000278888.8,0.01 <= TPM < 0.1
chr11,61581076,-,promoter,61579076,61583076,SYT7,ENST00000539008.6,0.01 <= TPM < 0.1
chr11,63917164,-,promoter,63915164,63919164,RCOR2,ENST00000301459.5,0.01 <= TPM < 0.1
chr11,64035930,+,promoter,64033930,64037930,FLRT1,ENST00000682287.1,0.01 <= TPM < 0.1
chr11,70078316,+,promoter,70076316,70080316,ANO1,ENST00000355303.10,0.01 <= TPM < 0.1
chr11,94401419,-,promoter,94399419,94403419,GPR83,ENST00000243673.7,0.01 <= TPM < 0.1
chr11,102843609,-,promoter,102841609,102845609,MMP3,ENST00000299855.10,0.01 <= TPM < 0.1
chr11,112167371,+,promoter,112165371,112169371,TEX12,ENST00000280358.5,0.01 <= TPM < 0.1
chr11,113975107,+,promoter,113973107,113977107,HTR3A,ENST00000504030.7,0.01 <= TPM < 0.1
chr11,118152823,-,promoter,118150823,118154823,SCN4B,ENST00000324727.9,0.01 <= TPM < 0.1
chr11,121101242,+,promoter,121099242,121103242,TECTA,ENST00000392793.6,0.01 <= TPM < 0.1
chr11,123195248,-,promoter,123193248,123197248,CLMP,ENST00000448775.4,0.01 <= TPM < 0.1
chr11,126062866,-,promoter,126060866,126064866,CDON,ENST00000531738.6,0.01 <= TPM < 0.1
chr11,131370614,+,promoter,131368614,131372614,NTM,ENST00000683400.1,0.01 <= TPM < 0.1
chr12,2052986,+,promoter,2050986,2054986,CACNA1C,ENST00000399603.6,0.01 <= TPM < 0.1
chr12,5945259,-,promoter,5943259,5947259,ANO2,ENST00000682330.1,0.01 <= TPM < 0.1
